Product,Price,Date,Vat Rate
Practical Rubber Table,11.89,2022-11-25,0.05
Gently Used Sausages,355.07,2022-11-04,0.05
Gorgeous Keyboard,883.19,2022-10-16,0.2
Rustic Cheese,484.78,2022-11-07,0.1
Tuna,186.88,2023-01-24,0.1
Ergonomic Towels,394.38,2022-12-30,0.1
Bacon,675.62,2023-01-16,0.15
Handcrafted Pants,288.01,2022-11-20,0.1
Fish,406.63,2022-11-16,0.25
Incredible Rubber Car,556.96,2022-12-17,0.05
Sleek Table,839.1,2023-02-03,0.25
Hat,614.81,2022-10-14,0.1
Gloves,202.2,2023-01-07,0.25
Handcrafted Metal Chicken,212.92,2022-10-26,0.2
Fish,787.24,2023-01-07,0.25
Awesome Pizza,859.72,2022-11-13,0.1
Refined Sausages,832.33,2022-11-27,0.05
Hat,959.37,2022-11-16,0.15
Incredible Sausages,4.08,2022-12-06,0.2
Practical Keyboard,367.83,2022-12-15,0.1
Tasty Tuna,715.67,2022-10-22,0.1
Fantastic Bacon,657.05,2022-12-24,0.25
Sausages,726.7,2023-01-21,0.25
Gorgeous Chips,479.47,2022-10-31,0.15
Awesome Metal Car,965.32,2023-01-21,0.2
Chair,794.42,2022-11-04,0.15
Handcrafted Shirt,741.34,2023-01-18,0.25
Computer,523.31,2023-01-09,0.1
Unbranded Pizza,658.38,2022-11-04,0.1
Handmade Chips,911.87,2022-10-14,0.05
Cotton Fish,279.83,2022-11-02,0.1
Rubber Gloves,38.64,2023-01-13,0.25
Keyboard,554.12,2022-11-18,0.1
Plastic Hat,525.97,2022-12-04,0.05
Steel Chips,617.1,2022-11-19,0.2
Pants,361.06,2023-01-19,0.2
Frozen Bike,551.93,2023-01-29,0.2
Licensed Car,880.36,2022-10-21,0.2
Chair,583.39,2022-12-23,0.25
Chair,900.0,2022-11-23,0.15
New Soft Keyboard,296.48,2023-01-29,0.2
Fantastic Metal Towels,358.1,2022-10-17,0.05
Plastic Gloves,465.83,2023-01-26,0.15
Incredible Keyboard,631.66,2022-11-10,0.15
Refined Wooden Hat,407.64,2022-11-22,0.1
Metal Chicken,514.78,2022-12-19,0.2
Handcrafted Concrete Keyboard,275.85,2023-01-23,0.15
For repair Computer,499.06,2022-12-20,0.25
Sleek Gloves,615.17,2023-01-22,0.1
Refined Hat,751.5,2022-10-10,0.1
Refined Steel Computer,934.32,2022-10-19,0.05
Shirt,961.43,2022-11-03,0.25
Fantastic Cotton Table,385.08,2023-01-23,0.1
Licensed Fish,310.25,2022-12-10,0.1
Plastic Shirt,836.07,2023-01-14,0.2
Tasty Cheese,790.69,2023-01-07,0.15
Unbranded Soft Chips,177.97,2022-10-11,0.1
Incredible Towels,208.29,2022-12-23,0.2
For repair Pants,417.73,2022-10-19,0.15
Sleek Fresh Pizza,620.53,2023-01-12,0.1
Incredible Steel Fish,718.91,2023-01-03,0.05
Frozen Bike,879.08,2022-12-31,0.05
Granite Hat,706.31,2022-11-27,0.05
Refined Rubber Chicken,866.66,2022-11-29,0.15
Handmade Fresh Fish,725.08,2022-12-13,0.15
Handcrafted Table,92.21,2023-01-27,0.25
Fantastic Wooden Computer,776.9,2023-01-17,0.05
Metal Hat,821.55,2022-12-28,0.15
Metal Bike,986.21,2023-01-19,0.15
Sausages,944.75,2022-12-22,0.15
For repair Gloves,600.62,2022-12-18,0.25
Practical Bacon,570.72,2022-12-16,0.25
New Table,206.12,2022-12-29,0.15
Generic Fresh Cheese,294.42,2022-12-19,0.15
Fresh Hat,99.83,2022-11-09,0.05
New Table,194.97,2022-12-17,0.25
Used Rubber Bacon,574.78,2022-11-29,0.1
Cheese,618.26,2022-10-23,0.15
Ball,178.54,2022-11-07,0.05
Fantastic Bacon,659.18,2022-11-04,0.25
Shoes,600.39,2022-11-09,0.25
Handcrafted Plastic Hat,45.75,2022-10-18,0.15
Gorgeous Fresh Keyboard,317.52,2022-11-26,0.05
Gorgeous Pants,952.84,2023-01-17,0.15
Fresh Soap,673.12,2023-02-01,0.2
Incredible Hat,801.68,2022-10-21,0.15
Rustic Chicken,95.05,2022-12-01,0.15
Hat,399.33,2022-12-17,0.15
Handmade Pizza,996.33,2023-01-18,0.05
Rustic Cotton Table,292.68,2022-12-11,0.2
Practical Salad,556.35,2022-10-23,0.25
Gloves,594.07,2022-11-06,0.15
Gorgeous Soft Bacon,516.33,2023-01-11,0.15
Soft Tuna,532.91,2022-12-14,0.1
Handcrafted Steel Tuna,12.02,2022-10-26,0.25
Pizza,583.47,2022-10-31,0.25
Pizza,906.81,2022-11-30,0.15
Handmade Soft Soap,669.32,2023-01-21,0.15
Metal Bacon,77.7,2022-11-20,0.25
Sleek Metal Salad,596.54,2022-12-06,0.15
Refined Tuna,207.68,2023-01-18,0.2
Wooden Car,586.4,2023-01-25,0.2
Plastic Salad,23.58,2022-11-22,0.25
Unbranded Frozen Soap,916.56,2022-11-12,0.1
Gently Used Ball,365.37,2022-12-11,0.15
Handmade Sausages,454.37,2023-01-19,0.15
Granite Fish,935.9,2023-01-08,0.15
Gently Used Fish,758.0,2022-12-26,0.15
Refined Plastic Pizza,321.58,2023-01-07,0.15
Used Table,557.95,2022-10-09,0.25
Sausages,53.0,2023-01-04,0.05
Incredible Cotton Bike,827.45,2022-11-27,0.05
Ball,347.73,2022-11-28,0.2
Incredible Pizza,35.61,2022-12-18,0.15
Sausages,648.34,2023-01-21,0.25
Tasty Metal Pants,794.23,2023-02-03,0.1
Fantastic Chips,923.41,2022-12-07,0.2
Licensed Car,86.42,2022-12-02,0.15
New Tuna,57.83,2022-12-08,0.2
Soft Cheese,986.7,2022-11-12,0.15
Soft Table,288.87,2022-11-09,0.25
Cotton Chicken,918.06,2022-11-21,0.1
New Computer,196.14,2022-10-15,0.15
Generic Ball,347.16,2022-11-21,0.05
Cheese,179.16,2022-11-15,0.05
Gently Used Frozen Bike,518.77,2022-12-20,0.25
Steel Chips,838.36,2022-11-24,0.15
Practical Towels,130.54,2023-02-02,0.15
Refined Granite Soap,557.82,2023-01-04,0.2
Practical Towels,586.31,2022-11-22,0.2
Incredible Hat,93.59,2023-01-10,0.1
Gloves,511.02,2023-01-16,0.15
Licensed Cotton Shirt,498.32,2022-10-10,0.1
Chips,911.98,2022-11-22,0.15
Fresh Pants,419.98,2022-12-24,0.1
Rustic Fish,249.57,2022-11-27,0.25
Soap,112.73,2022-12-13,0.25
Soft Pizza,975.16,2023-01-05,0.2
Fantastic Steel Pants,415.54,2022-11-17,0.1
Refined Fresh Chicken,68.48,2022-11-20,0.1
Unbranded Cotton Tuna,91.03,2022-10-28,0.25
Plastic Table,973.55,2022-12-11,0.25
Gently Used Frozen Computer,801.55,2023-02-04,0.15
Metal Hat,696.66,2022-12-14,0.05
Fish,471.34,2022-12-15,0.1
Rubber Chips,5.47,2022-11-15,0.25
Tasty Pants,39.52,2022-11-17,0.25
Ball,663.74,2023-01-18,0.05
Licensed Frozen Computer,299.08,2022-10-16,0.15
Wooden Pants,387.13,2022-10-12,0.1
Chips,537.48,2022-12-31,0.05
Rubber Soap,410.79,2022-11-18,0.1
Rustic Fresh Keyboard,507.49,2022-12-23,0.1
Gloves,120.59,2023-01-30,0.05
Fresh Chair,858.89,2023-01-18,0.1
Rubber Keyboard,721.19,2022-11-03,0.25
Sleek Steel Table,437.23,2022-10-15,0.1
Handcrafted Soft Bike,997.24,2022-12-28,0.25
Car,357.04,2022-10-22,0.05
Awesome Granite Hat,786.12,2023-01-03,0.1
Salad,907.66,2022-12-07,0.05
Fresh Towels,289.45,2023-02-01,0.2
Steel Pants,362.15,2023-01-08,0.2
Rustic Towels,904.08,2023-01-08,0.05
Granite Chicken,825.87,2022-11-12,0.1
Chair,550.24,2022-10-19,0.1
Incredible Car,810.57,2022-12-22,0.2
Pizza,841.45,2022-11-21,0.15
Practical Mouse,890.35,2022-10-25,0.1
Rustic Wooden Gloves,231.43,2022-11-03,0.15
Wooden Computer,306.82,2023-01-29,0.1
Keyboard,915.05,2022-10-29,0.2
Fresh Chips,12.77,2022-10-14,0.2
Small Cotton Fish,19.94,2022-11-12,0.2
Refined Rubber Hat,692.53,2022-12-31,0.1
Fresh Cheese,682.08,2023-02-02,0.15
Gently Used Chips,202.55,2023-01-19,0.15
Cotton Chair,297.06,2022-10-21,0.15
Fish,254.61,2022-11-09,0.1
Intelligent Bike,824.5,2022-10-15,0.05
Plastic Hat,618.8,2022-11-07,0.2
Rubber Bacon,842.09,2022-11-12,0.25
Granite Towels,218.89,2023-01-07,0.25
Rubber Hat,634.9,2023-01-03,0.05
Used Concrete Cheese,665.09,2023-02-04,0.05
Bacon,970.13,2023-01-27,0.25
Car,263.17,2022-12-14,0.15
Wooden Bacon,944.1,2022-11-11,0.15
Concrete Tuna,964.55,2023-01-28,0.1
Bacon,320.81,2022-10-12,0.05
Generic Pants,138.41,2022-11-28,0.15
Fantastic Car,50.87,2023-01-27,0.05
Soap,837.5,2022-11-21,0.25
Cotton Sausages,546.17,2022-12-30,0.15
Fantastic Steel Table,2.18,2022-12-22,0.25
Chair,599.72,2022-11-20,0.1
Licensed Hat,687.75,2022-10-21,0.05
Fantastic Chair,147.68,2022-11-16,0.05
Practical Rubber Pizza,97.21,2022-10-10,0.15
Rubber Soap,940.17,2022-12-23,0.1
Intelligent Rubber Pants,678.74,2022-12-06,0.05
Gently Used Table,285.93,2022-12-14,0.1
Gorgeous Car,92.38,2023-01-06,0.05
Unbranded Plastic Tuna,710.63,2023-01-17,0.05
Gorgeous Fish,504.63,2022-11-19,0.1
Incredible Towels,623.58,2022-11-14,0.25
Used Metal Bacon,758.11,2022-11-29,0.05
Licensed Frozen Shoes,334.95,2022-12-04,0.05
Intelligent Table,660.09,2022-12-09,0.05
Bacon,38.35,2022-12-27,0.05
Pizza,541.08,2023-01-11,0.2
Granite Chair,910.97,2022-11-24,0.15
Plastic Mouse,541.84,2023-01-01,0.15
Fantastic Soft Tuna,581.8,2022-12-03,0.15
Soft Towels,594.02,2022-11-30,0.1
Pants,64.78,2022-11-24,0.15
Steel Salad,373.8,2022-12-05,0.25
Gently Used Plastic Shirt,926.19,2023-01-29,0.25
Granite Towels,928.57,2022-12-04,0.15
Chicken,205.23,2022-10-27,0.05
Incredible Wooden Bacon,443.8,2023-01-12,0.1
Pants,154.11,2023-01-11,0.15
Table,380.98,2023-01-29,0.2
Sleek Fresh Chicken,473.25,2022-11-13,0.1
Towels,191.43,2022-12-02,0.15
Awesome Concrete Pizza,501.06,2022-12-15,0.2
Sausages,114.61,2022-10-15,0.2
Concrete Chair,150.85,2022-12-03,0.05
Plastic Soap,737.71,2022-12-10,0.1
Gloves,962.47,2022-11-23,0.15
Rubber Tuna,426.29,2023-01-08,0.2
Used Metal Gloves,970.06,2022-12-23,0.05
Awesome Metal Chicken,837.14,2023-02-01,0.2
Gorgeous Shoes,959.97,2022-12-08,0.05
Plastic Pizza,164.42,2023-01-26,0.05
Practical Shirt,324.89,2022-12-12,0.15
Steel Computer,898.04,2022-10-31,0.1
Sausages,547.24,2022-11-20,0.05
Gorgeous Tuna,25.27,2022-12-10,0.05
Soap,178.51,2022-10-11,0.05
Gently Used Cotton Gloves,896.97,2023-01-18,0.15
Plastic Bacon,987.87,2023-01-12,0.1
Plastic Soap,469.93,2022-10-25,0.05
Unbranded Metal Car,652.06,2023-01-13,0.05
Licensed Bike,182.27,2023-01-16,0.05
Handcrafted Fish,57.02,2022-12-14,0.1
Chicken,91.88,2022-10-26,0.25
Incredible Soft Cheese,65.91,2022-10-10,0.15
Gorgeous Keyboard,199.8,2022-11-02,0.1
Cotton Sausages,398.85,2022-10-22,0.2
Bike,540.65,2022-12-21,0.2
Fresh Chicken,936.1,2022-11-11,0.25
Unbranded Hat,616.7,2023-01-10,0.25
New Hat,295.32,2022-11-02,0.05
Concrete Shirt,993.1,2022-10-11,0.05
Awesome Soft Car,244.32,2022-11-07,0.2
Wooden Keyboard,336.07,2022-12-01,0.15
Cotton Computer,915.63,2022-12-09,0.2
Refined Rubber Bike,507.34,2023-01-14,0.05
For repair Wooden Shirt,947.04,2023-01-17,0.05
For repair Cotton Soap,794.06,2022-12-08,0.1
Used Chair,174.77,2023-02-02,0.05
Gorgeous Frozen Cheese,722.87,2022-10-26,0.15
Incredible Granite Table,857.93,2022-11-29,0.2
Incredible Steel Fish,559.77,2022-12-18,0.1
Wooden Ball,430.63,2022-10-20,0.05
Rustic Granite Chair,903.69,2022-12-15,0.1
Cotton Salad,130.11,2022-11-22,0.1
Handcrafted Ball,841.86,2022-11-18,0.15
Rustic Granite Hat,393.98,2022-11-03,0.25
Licensed Steel Pizza,661.01,2022-11-21,0.15
Handmade Sausages,495.04,2022-11-29,0.2
Small Chair,415.53,2023-01-19,0.05
Handcrafted Metal Chicken,870.62,2023-01-08,0.1
Ball,162.55,2022-11-17,0.1
Generic Salad,300.02,2022-10-30,0.15
Intelligent Shirt,286.32,2022-10-28,0.05
Incredible Soap,665.33,2023-01-22,0.25
Refined Salad,13.99,2023-01-29,0.25
Awesome Rubber Hat,758.25,2022-11-11,0.15
Handcrafted Cheese,510.11,2022-12-04,0.1
Intelligent Shoes,144.34,2022-12-02,0.1
Chicken,26.07,2022-11-16,0.25
For repair Tuna,911.36,2022-10-25,0.2
Ergonomic Tuna,186.78,2023-02-01,0.2
Unbranded Chicken,771.31,2022-12-23,0.1
Fresh Chips,707.15,2022-12-18,0.2
Unbranded Fresh Tuna,252.83,2023-01-02,0.05
Chicken,72.2,2023-01-04,0.2
Tuna,515.42,2022-12-29,0.1
Handmade Soft Car,245.66,2022-11-07,0.1
Frozen Salad,880.07,2022-11-11,0.15
Ergonomic Shirt,669.42,2022-11-11,0.25
Tuna,460.23,2023-02-04,0.2
Handmade Soap,155.39,2022-10-27,0.15
Soap,483.54,2022-11-25,0.05
Intelligent Granite Hat,997.5,2022-11-02,0.05
Incredible Soft Pizza,712.05,2022-12-30,0.05
Plastic Chicken,428.09,2022-12-23,0.2
Handmade Wooden Shoes,332.63,2022-10-21,0.05
Granite Sausages,121.18,2023-02-04,0.05
Soft Car,684.16,2022-11-14,0.2
Incredible Towels,162.04,2023-01-09,0.05
Plastic Chair,600.53,2022-12-16,0.05
Handmade Rubber Towels,865.13,2023-02-04,0.05
Bacon,796.16,2023-02-02,0.05
Fresh Gloves,677.49,2022-12-23,0.2
Gorgeous Fresh Tuna,294.86,2022-10-21,0.25
Gorgeous Wooden Bacon,360.29,2022-11-14,0.1
Plastic Sausages,745.01,2022-12-27,0.1
Soft Shoes,163.8,2023-02-01,0.2
Tasty Rubber Soap,202.76,2022-11-15,0.2
Towels,372.46,2022-11-21,0.25
Sleek Frozen Shoes,188.13,2022-12-11,0.05
Ergonomic Towels,260.0,2022-10-16,0.05
Rubber Soap,915.32,2022-12-06,0.2
Granite Chicken,213.35,2023-01-22,0.1
Metal Ball,932.39,2022-12-22,0.15
Refined Cotton Pizza,912.92,2022-12-24,0.05
Soap,397.42,2023-01-12,0.1
Ball,336.93,2023-01-28,0.15
Mouse,971.54,2023-01-03,0.15
Ball,767.56,2022-12-13,0.2
Plastic Hat,943.84,2023-01-15,0.25
Tasty Keyboard,683.12,2022-11-15,0.2
Frozen Pizza,638.12,2022-12-27,0.2
Awesome Wooden Shoes,425.69,2022-12-08,0.25
Fresh Tuna,601.21,2022-11-09,0.2
Tuna,227.02,2022-11-21,0.15
Refined Car,954.84,2023-01-22,0.1
Soap,98.74,2022-12-02,0.25
Sleek Hat,842.78,2023-01-06,0.25
Refined Sausages,811.5,2022-10-31,0.15
Wooden Tuna,72.88,2022-11-20,0.2
Keyboard,672.23,2023-01-09,0.1
Rubber Car,60.31,2022-12-02,0.15
Pants,577.82,2022-10-26,0.05
Licensed Table,898.98,2022-12-19,0.1
Shirt,164.62,2022-12-27,0.15
Computer,199.51,2022-12-29,0.25
Awesome Hat,324.15,2022-11-08,0.15
Incredible Mouse,738.31,2022-12-19,0.1
Licensed Keyboard,603.74,2022-11-15,0.2
Awesome Cotton Chicken,717.26,2022-11-26,0.05
Practical Plastic Car,750.71,2022-12-26,0.25
Small Frozen Bike,725.94,2022-11-05,0.1
Concrete Keyboard,853.96,2022-10-23,0.05
Incredible Towels,144.79,2023-01-14,0.1
Sleek Fresh Chips,863.72,2022-11-17,0.1
Gently Used Fresh Tuna,252.51,2023-01-16,0.2
Gloves,686.93,2022-11-30,0.05
Fish,177.07,2022-11-07,0.2
Metal Mouse,887.58,2022-11-24,0.15
Rubber Gloves,971.7,2022-11-01,0.15
Rubber Shirt,502.95,2022-12-09,0.15
Gorgeous Rubber Computer,213.18,2023-01-22,0.2
Frozen Chips,128.96,2022-11-13,0.1
Fish,875.25,2022-12-25,0.05
Fresh Sausages,374.52,2022-12-28,0.05
For repair Ball,30.74,2022-12-30,0.15
Hat,115.01,2023-01-30,0.15
Generic Tuna,448.27,2022-10-19,0.25
Plastic Bacon,571.26,2023-01-31,0.05
Sleek Concrete Gloves,407.87,2022-10-18,0.1
Handcrafted Pants,615.18,2022-10-13,0.05
Handmade Soft Tuna,448.87,2023-02-05,0.15
Steel Car,106.26,2023-01-22,0.25
Licensed Bike,382.04,2022-12-07,0.1
Shoes,418.1,2022-10-09,0.05
Concrete Soap,473.11,2022-11-30,0.25
Steel Towels,872.18,2022-12-23,0.1
For repair Concrete Car,725.3,2022-10-10,0.05
Concrete Shoes,184.9,2022-10-09,0.05
Awesome Cotton Car,230.05,2022-10-22,0.2
Fantastic Wooden Computer,739.21,2022-10-14,0.25
Bike,647.27,2022-12-07,0.1
Concrete Soap,519.27,2022-11-13,0.25
Frozen Table,764.42,2023-01-09,0.05
Gently Used Shirt,258.31,2022-10-13,0.2
Ergonomic Concrete Chicken,518.56,2022-11-30,0.05
Frozen Towels,710.47,2022-11-05,0.25
Soft Computer,447.81,2022-10-31,0.1
Gorgeous Pizza,842.3,2023-01-13,0.05
Frozen Mouse,104.2,2022-12-17,0.1
Bacon,646.96,2022-11-13,0.2
New Cotton Towels,393.54,2022-12-02,0.2
Unbranded Frozen Pants,321.74,2023-02-03,0.1
Awesome Keyboard,861.7,2023-01-29,0.15
Metal Bacon,989.68,2022-11-07,0.1
Plastic Towels,775.07,2022-12-03,0.15
New Keyboard,965.75,2022-10-15,0.05
Metal Shoes,246.62,2022-11-26,0.15
Licensed Wooden Soap,905.75,2022-12-06,0.1
Tasty Granite Pants,145.65,2022-12-29,0.15
Shirt,760.43,2023-01-16,0.1
Hat,491.27,2023-02-03,0.1
Cheese,557.11,2022-10-22,0.2
Fresh Ball,812.22,2022-12-02,0.25
Awesome Salad,507.46,2022-12-28,0.05
Tasty Computer,664.63,2022-10-26,0.25
Chips,522.92,2022-11-18,0.15
Fresh Bacon,861.55,2022-11-05,0.25
Unbranded Fish,188.46,2023-01-20,0.15
Cotton Fish,364.56,2022-11-26,0.2
Mouse,59.18,2023-01-26,0.25
Plastic Keyboard,991.78,2022-12-29,0.15
Fresh Keyboard,582.73,2023-01-31,0.1
Ergonomic Chair,24.93,2022-12-08,0.15
Rubber Salad,554.65,2022-12-07,0.25
Steel Chair,174.29,2022-11-25,0.2
For repair Plastic Cheese,171.2,2022-10-22,0.15
Shirt,474.46,2022-11-21,0.05
Rubber Bacon,245.32,2022-10-15,0.2
Cotton Ball,44.8,2023-01-22,0.25
Bacon,832.82,2022-12-25,0.2
Computer,799.82,2022-11-14,0.1
Cotton Shoes,916.46,2022-10-27,0.05
Granite Fish,218.34,2022-10-12,0.1
Steel Gloves,709.25,2023-01-12,0.05
Shoes,248.27,2022-11-11,0.15
Handcrafted Metal Ball,277.96,2022-10-20,0.05
Practical Soft Fish,636.72,2022-10-16,0.05
Steel Hat,259.36,2022-10-11,0.05
Tuna,927.63,2022-12-26,0.25
Rubber Chair,750.46,2023-01-17,0.05
Handmade Wooden Chair,755.08,2023-02-04,0.25
Cheese,70.19,2023-01-19,0.1
Small Frozen Chicken,526.88,2022-12-09,0.05
Steel Sausages,814.65,2022-11-08,0.05
Wooden Chicken,421.6,2022-11-10,0.05
Metal Keyboard,695.45,2023-01-27,0.05
Rubber Hat,74.1,2022-11-09,0.15
Fantastic Computer,196.78,2022-10-22,0.05
Awesome Cotton Towels,834.47,2023-01-21,0.2
Sleek Mouse,233.77,2023-01-27,0.25
Generic Cotton Tuna,315.04,2022-10-19,0.15
Concrete Hat,582.04,2022-10-31,0.1
Fresh Pants,749.44,2022-10-30,0.15
Small Tuna,651.31,2022-10-22,0.05
Bacon,301.44,2022-11-16,0.2
Sleek Pants,384.92,2023-01-05,0.1
Practical Frozen Chicken,432.3,2022-10-28,0.25
Ergonomic Pants,858.42,2023-02-04,0.25
